# IRS Publication 946 (2025), Appendix A, Table A-2: Mid-Quarter Convention / First Quarter
# https://www.irs.gov/pub/irs-pdf/p946.pdf - retrieved 2026-07-27
# Extracted by parse_p946_tables.py; verified by macrs.py.
year,3,5,7,10,15,20
1,58.33,35.00,25.00,17.50,8.75,6.563
2,27.78,26.00,21.43,16.50,9.13,7.000
3,12.35,15.60,15.31,13.20,8.21,6.482
4,1.54,11.01,10.93,10.56,7.39,5.996
5,,11.01,8.75,8.45,6.65,5.546
6,,1.38,8.74,6.76,5.99,5.130
7,,,8.75,6.55,5.90,4.746
8,,,1.09,6.55,5.91,4.459
9,,,,6.56,5.90,4.459
10,,,,6.55,5.91,4.459
11,,,,0.82,5.90,4.459
12,,,,,5.91,4.460
13,,,,,5.90,4.459
14,,,,,5.91,4.460
15,,,,,5.90,4.459
16,,,,,0.74,4.460
17,,,,,,4.459
18,,,,,,4.460
19,,,,,,4.459
20,,,,,,4.460
21,,,,,,0.565
