start,end,d1_bond,d2_bond,days_bond,d1_euro,d2_euro,days_euro,d1_isda,d2_isda,days_isda,days_actual
2007-01-15,2007-01-30,15.0,30.0,15.0,15.0,30.0,15.0,15.0,30.0,15.0,15.0
2007-01-15,2007-02-15,15.0,15.0,30.0,15.0,15.0,30.0,15.0,15.0,30.0,31.0
2007-01-15,2007-07-15,15.0,15.0,180.0,15.0,15.0,180.0,15.0,15.0,180.0,181.0
2007-09-30,2008-03-31,30.0,30.0,180.0,30.0,30.0,180.0,30.0,30.0,180.0,183.0
2007-09-30,2007-10-31,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
2007-09-30,2008-09-30,30.0,30.0,360.0,30.0,30.0,360.0,30.0,30.0,360.0,366.0
2007-01-15,2007-01-31,15.0,31.0,16.0,15.0,30.0,15.0,15.0,30.0,15.0,16.0
2007-01-31,2007-02-28,30.0,28.0,28.0,30.0,28.0,28.0,30.0,30.0,30.0,28.0
2007-02-28,2007-03-31,28.0,31.0,33.0,28.0,30.0,32.0,30.0,30.0,30.0,31.0
2006-08-31,2007-02-28,30.0,28.0,178.0,30.0,28.0,178.0,30.0,30.0,180.0,181.0
2007-02-28,2007-08-31,28.0,31.0,183.0,28.0,30.0,182.0,30.0,30.0,180.0,184.0
2007-02-14,2007-02-28,14.0,28.0,14.0,14.0,28.0,14.0,14.0,30.0,16.0,14.0
2007-02-26,2008-02-29,26.0,29.0,363.0,26.0,29.0,363.0,26.0,30.0,364.0,368.0
2008-02-29,2009-02-28,29.0,28.0,359.0,29.0,28.0,359.0,30.0,28.0,358.0,365.0
2008-02-29,2008-03-30,29.0,30.0,31.0,29.0,30.0,31.0,30.0,30.0,30.0,30.0
2008-02-29,2008-03-31,29.0,31.0,32.0,29.0,30.0,31.0,30.0,30.0,30.0,31.0
2007-02-28,2007-03-05,28.0,5.0,7.0,28.0,5.0,7.0,30.0,5.0,5.0,5.0
2007-10-31,2007-11-28,30.0,28.0,28.0,30.0,28.0,28.0,30.0,28.0,28.0,28.0
2007-08-31,2008-02-29,30.0,29.0,179.0,30.0,29.0,179.0,30.0,30.0,180.0,182.0
2008-02-29,2008-08-31,29.0,31.0,182.0,29.0,30.0,181.0,30.0,30.0,180.0,184.0
2008-08-31,2009-02-28,30.0,28.0,178.0,30.0,28.0,178.0,30.0,28.0,178.0,181.0
2009-02-28,2009-08-31,28.0,31.0,183.0,28.0,30.0,182.0,30.0,30.0,180.0,184.0
